NomeCompleto;NomeUsuario;Email;Senha;Administrador;CPF;Telefone;RazaoSocial;CNPJ;Endereco;Cidade;Estado;CEP;Pais;NumeroCartao;ValidadeCartao;NomeProduto;Preco;DescricaoProduto;Quantidade;NomeCategoria;DescricaoCategoria;TituloArtigo;ConteudoArtigo;NomeAutor;DataPublicacao
"=""Jeffery Willms""";"=""jeffery.willms""";"=""willms.jeffery@gmail.com""";"=""WilJe32""";"=""true""";"=""43865867332""";"=""15856225836""";"=""Jeffery Willms LTDA""";"=""68654889000164""";"=""62589 Marianna Drives""";"=""West Emmie""";"=""Vermont""";"=""63509379""";"=""Chad""";"=""3528517868458589""";"=""11/25""";"=""Notebook Moderno""";"=""215.57""";"=""Um excelente notebook moderno da categoria Games, ideal para suas necessidades.""";"=""93""";"=""Games""";"=""Descricao para a categoria Games""";"=""Non voluptatibus adipisci aliquam odio nisi reiciendis aliquam.""";"=""Conteudo do artigo nao disponivel.""";"=""Casandra Blick""";"=""2025-07-27T22:40:47.414Z"""
"=""Camilla Monahan""";"=""camilla.monahan""";"=""monahan.camilla@gmail.com""";"=""MonCa54""";"=""true""";"=""37410662654""";"=""13809337572""";"=""Camilla Monahan LTDA""";"=""45559821000109""";"=""6743 Koch Way""";"=""New Jane""";"=""Florida""";"=""39467878""";"=""Suriname""";"=""2516653794655992""";"=""11/25""";"=""Smartphone Ultra-fino""";"=""1193.19""";"=""Um excelente smartphone ultra-fino da categoria Perifericos, ideal para suas necessidades.""";"=""78""";"=""Perifericos""";"=""Descricao para a categoria Perifericos""";"=""Ipsum incidunt voluptatem pariatur ea qui delectus sunt.""";"=""Conteudo do artigo nao disponivel.""";"=""Weston Flatley""";"=""2025-07-27T22:40:48.357Z"""
"=""Anibal Hammes""";"=""anibal.hammes""";"=""hammes.anibal@gmail.com""";"=""HamAn83""";"=""true""";"=""10341628883""";"=""16237295592""";"=""Anibal Hammes LTDA""";"=""92139970000190""";"=""9518 Issac Plains Suite 746""";"=""North Filomenaton""";"=""Ohio""";"=""04521060""";"=""Comoros""";"=""4556240985694""";"=""06/28""";"=""Fone de Ouvido Ergonomica""";"=""1467.42""";"=""Um excelente fone de ouvido ergonomica da categoria Acessorios, ideal para suas necessidades.""";"=""30""";"=""Acessorios""";"=""Descricao para a categoria Acessorios""";"=""In fugiat voluptatem at tempore natus dolorum.""";"=""Conteudo do artigo nao disponivel.""";"=""Gabriel Wolf""";"=""2025-07-27T22:40:49.402Z"""
"=""Hellen Hane""";"=""hellen.hane""";"=""hane.hellen@gmail.com""";"=""HanHe83""";"=""true""";"=""88559095683""";"=""19478483348""";"=""Hellen Hane LTDA""";"=""39060414000141""";"=""602 Judson Manors""";"=""South Mercedes""";"=""South Carolina""";"=""27916608""";"=""Tajikistan""";"=""6011204314375231""";"=""10/27""";"=""Notebook Ultra-fino""";"=""1071.47""";"=""Um excelente notebook ultra-fino da categoria Informatica, ideal para suas necessidades.""";"=""55""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Qui nemo neque consequuntur.""";"=""Conteudo do artigo nao disponivel.""";"=""Torrey Hermann""";"=""2025-07-27T22:40:50.453Z"""
"=""Darrell McGlynn""";"=""darrell.mcglynn""";"=""mcglynn.darrell@gmail.com""";"=""McgDa50""";"=""true""";"=""11264899050""";"=""17543462520""";"=""Darrell McGlynn LTDA""";"=""74477296000172""";"=""9820 Austin Plaza""";"=""Port Wilfordport""";"=""Arkansas""";"=""79674471""";"=""Peru""";"=""3589582120596903""";"=""01/28""";"=""Tablet Sem Fio""";"=""2178.96""";"=""Um excelente tablet sem fio da categoria Games, ideal para suas necessidades.""";"=""42""";"=""Games""";"=""Descricao para a categoria Games""";"=""Quis autem ab sint voluptatem.""";"=""Conteudo do artigo nao disponivel.""";"=""Sienna Gaylord""";"=""2025-07-27T22:40:51.504Z"""
"=""Gunnar Schultz""";"=""gunnar.schultz""";"=""schultz.gunnar@gmail.com""";"=""SchGu76""";"=""true""";"=""57474548976""";"=""19473606527""";"=""Gunnar Schultz LTDA""";"=""14049547000196""";"=""3567 McKenzie Well""";"=""Keithfurt""";"=""Oregon""";"=""44485519""";"=""South Georgia and the South Sandwich Islands""";"=""4539223042829044""";"=""04/27""";"=""Fone de Ouvido Profissional""";"=""4284.48""";"=""Um excelente fone de ouvido profissional da categoria Eletronicos, ideal para suas necessidades.""";"=""99""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Illum facere porro facilis ipsum odit dignissimos eum.""";"=""Conteudo do artigo nao disponivel.""";"=""Ford Harris""";"=""2025-07-27T22:40:52.512Z"""
"=""Pamela Ankunding""";"=""pamela.ankunding""";"=""ankunding.pamela@gmail.com""";"=""AnkPa16""";"=""true""";"=""50263724816""";"=""14705693026""";"=""Pamela Ankunding LTDA""";"=""69793869000137""";"=""6396 Antonetta Trafficway Suite 425""";"=""West Ciceroton""";"=""Utah""";"=""88774421""";"=""Saint Pierre and Miquelon""";"=""4716164089475298""";"=""09/27""";"=""Smartwatch Potente""";"=""1395.76""";"=""Um excelente smartwatch potente da categoria Perifericos, ideal para suas necessidades.""";"=""43""";"=""Perifericos""";"=""Descricao para a categoria Perifericos""";"=""Quia laudantium velit dolor harum dolor quam aut aut.""";"=""Conteudo do artigo nao disponivel.""";"=""Orville Price""";"=""2025-07-27T22:40:53.522Z"""
"=""Carlie Rolfson""";"=""carlie.rolfson""";"=""rolfson.carlie@gmail.com""";"=""RolCa84""";"=""true""";"=""51114121584""";"=""17577379644""";"=""Carlie Rolfson LTDA""";"=""22912810000157""";"=""888 Senger Heights""";"=""Kacihaven""";"=""Missouri""";"=""84487795""";"=""Cape Verde""";"=""4024007181561951""";"=""06/28""";"=""Tablet Ultra-fino""";"=""155.42""";"=""Um excelente tablet ultra-fino da categoria Informatica, ideal para suas necessidades.""";"=""69""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Quaerat quia neque autem natus sed.""";"=""Conteudo do artigo nao disponivel.""";"=""Jordy King""";"=""2025-07-27T22:40:54.492Z"""
"=""Angeline Williamson""";"=""angeline.williamson""";"=""williamson.angeline@gmail.com""";"=""WilAn83""";"=""true""";"=""06651006983""";"=""15167280868""";"=""Angeline Williamson LTDA""";"=""90771478000108""";"=""957 Sean Green""";"=""Newtonside""";"=""Indiana""";"=""66684574""";"=""Turkey""";"=""4539788761009267""";"=""06/28""";"=""Fone de Ouvido RGB""";"=""1064.82""";"=""Um excelente fone de ouvido rgb da categoria Fotografia, ideal para suas necessidades.""";"=""75""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Quia corrupti sint et.""";"=""Conteudo do artigo nao disponivel.""";"=""Felipe Schulist""";"=""2025-07-27T22:40:55.472Z"""
"=""Hallie Adams""";"=""hallie.adams""";"=""adams.hallie@gmail.com""";"=""AdaHa66""";"=""true""";"=""09076480966""";"=""13612408897""";"=""Hallie Adams LTDA""";"=""57985001000150""";"=""334 Rhett Harbors Apt. 593""";"=""Maciemouth""";"=""Connecticut""";"=""44156709""";"=""Malaysia""";"=""2720090352495507""";"=""05/27""";"=""Camera Digital Ultra-fino""";"=""2488.60""";"=""Um excelente camera digital ultra-fino da categoria Acessorios, ideal para suas necessidades.""";"=""64""";"=""Acessorios""";"=""Descricao para a categoria Acessorios""";"=""Dolore dicta molestiae in magni aut sequi explicabo.""";"=""Conteudo do artigo nao disponivel.""";"=""Ricardo Leffler""";"=""2025-07-27T22:40:56.444Z"""
"=""Aron Bins""";"=""aron.bins""";"=""bins.aron@gmail.com""";"=""BinAr03""";"=""true""";"=""40056153503""";"=""18386770790""";"=""Aron Bins LTDA""";"=""59350665000178""";"=""19028 Rempel Pine Apt. 942""";"=""North Rubenview""";"=""District of Columbia""";"=""85331243""";"=""Mauritius""";"=""4929489936126""";"=""06/27""";"=""Tablet RGB""";"=""3844.27""";"=""Um excelente tablet rgb da categoria Perifericos, ideal para suas necessidades.""";"=""91""";"=""Perifericos""";"=""Descricao para a categoria Perifericos""";"=""Cum est quo et incidunt.""";"=""Conteudo do artigo nao disponivel.""";"=""Stuart Lockman""";"=""2025-07-27T22:40:57.419Z"""
"=""Brooke Considine""";"=""brooke.considine""";"=""considine.brooke@gmail.com""";"=""ConBr02""";"=""true""";"=""92813778702""";"=""19596307981""";"=""Brooke Considine LTDA""";"=""50839286000171""";"=""225 Dietrich View""";"=""Odieton""";"=""South Dakota""";"=""83155143""";"=""Bouvet Island (Bouvetoya)""";"=""5356369112802648""";"=""11/26""";"=""Cadeira Gamer Sem Fio""";"=""2402.86""";"=""Um excelente cadeira gamer sem fio da categoria Acessorios, ideal para suas necessidades.""";"=""4""";"=""Acessorios""";"=""Descricao para a categoria Acessorios""";"=""Rem laboriosam eos ipsa repudiandae dolor ea molestiae itaque.""";"=""Conteudo do artigo nao disponivel.""";"=""Roberto Bailey""";"=""2025-07-27T22:40:58.366Z"""
"=""Devin Daugherty""";"=""devin.daugherty""";"=""daugherty.devin@gmail.com""";"=""DauDe99""";"=""true""";"=""71470977699""";"=""16693735288""";"=""Devin Daugherty LTDA""";"=""03015881000102""";"=""9849 Cydney Estate""";"=""East Cristian""";"=""New York""";"=""61081920""";"=""Martinique""";"=""373032184623371""";"=""08/26""";"=""Mouse Gamer RGB""";"=""3748.80""";"=""Um excelente mouse gamer rgb da categoria Informatica, ideal para suas necessidades.""";"=""70""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Est rem velit veritatis perferendis aut nam.""";"=""Conteudo do artigo nao disponivel.""";"=""Kaley Towne""";"=""2025-07-27T22:40:59.466Z"""
"=""Aglae Murphy""";"=""aglae.murphy""";"=""murphy.aglae@gmail.com""";"=""MurAg45""";"=""true""";"=""10685165345""";"=""14242746178""";"=""Aglae Murphy LTDA""";"=""43475098000146""";"=""1545 Kimberly Roads Suite 969""";"=""Coleburgh""";"=""Kansas""";"=""41989918""";"=""Botswana""";"=""371467748468305""";"=""01/27""";"=""Smartwatch Potente""";"=""3813.24""";"=""Um excelente smartwatch potente da categoria Acessorios, ideal para suas necessidades.""";"=""29""";"=""Acessorios""";"=""Descricao para a categoria Acessorios""";"=""Ratione est id minima est sunt.""";"=""Conteudo do artigo nao disponivel.""";"=""Trent Marks""";"=""2025-07-27T22:41:00.402Z"""
"=""Karli Tillman""";"=""karli.tillman""";"=""tillman.karli@gmail.com""";"=""TilKa71""";"=""true""";"=""21369834071""";"=""15809933768""";"=""Karli Tillman LTDA""";"=""34415387000169""";"=""58559 Lenore Dam Apt. 168""";"=""Lake Walter""";"=""Alaska""";"=""81951225""";"=""Jordan""";"=""4024007137256706""";"=""01/27""";"=""Notebook Potente""";"=""3910.22""";"=""Um excelente notebook potente da categoria Fotografia, ideal para suas necessidades.""";"=""48""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Omnis ab quae repellendus labore est assumenda odio minima.""";"=""Conteudo do artigo nao disponivel.""";"=""Vita Gaylord""";"=""2025-07-27T22:41:01.464Z"""
"=""Braulio Rowe""";"=""braulio.rowe""";"=""rowe.braulio@gmail.com""";"=""RowBr90""";"=""true""";"=""85833114390""";"=""12673238974""";"=""Braulio Rowe LTDA""";"=""95187638000190""";"=""680 Jarrod Terrace Suite 832""";"=""Port Eda""";"=""District of Columbia""";"=""69502469""";"=""Taiwan""";"=""5220686933947730""";"=""09/27""";"=""Camera Digital Sem Fio""";"=""4403.20""";"=""Um excelente camera digital sem fio da categoria Perifericos, ideal para suas necessidades.""";"=""86""";"=""Perifericos""";"=""Descricao para a categoria Perifericos""";"=""Odio odio est ut fugit.""";"=""Conteudo do artigo nao disponivel.""";"=""Wilfredo Welch""";"=""2025-07-27T22:41:02.419Z"""
"=""Robbie Kihn""";"=""robbie.kihn""";"=""kihn.robbie@gmail.com""";"=""KihRo90""";"=""true""";"=""67275409690""";"=""18202205848""";"=""Robbie Kihn LTDA""";"=""51010488000179""";"=""983 Will Village Suite 005""";"=""East Kiera""";"=""Alabama""";"=""06425735""";"=""Tanzania""";"=""4556236644669""";"=""07/26""";"=""Teclado Mecanico Profissional""";"=""4978.65""";"=""Um excelente teclado mecanico profissional da categoria Informatica, ideal para suas necessidades.""";"=""6""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Totam ex omnis velit saepe.""";"=""Conteudo do artigo nao disponivel.""";"=""Reanna Orn""";"=""2025-07-27T22:41:03.382Z"""
"=""Delta Haag""";"=""delta.haag""";"=""haag.delta@gmail.com""";"=""HaaDe80""";"=""true""";"=""11943608580""";"=""16316847214""";"=""Delta Haag LTDA""";"=""82096141000114""";"=""77615 Brekke Fork""";"=""Lake Nedra""";"=""Iowa""";"=""10804659""";"=""Reunion""";"=""4024007144989927""";"=""11/25""";"=""Camera Digital Ergonomica""";"=""3516.13""";"=""Um excelente camera digital ergonomica da categoria Informatica, ideal para suas necessidades.""";"=""31""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Ullam est dignissimos et.""";"=""Conteudo do artigo nao disponivel.""";"=""Kim Wolf""";"=""2025-07-27T22:41:04.464Z"""
"=""Breanna Schmeler""";"=""breanna.schmeler""";"=""schmeler.breanna@gmail.com""";"=""SchBr07""";"=""true""";"=""79272733707""";"=""14583880781""";"=""Breanna Schmeler LTDA""";"=""41285431000129""";"=""3636 Fay Highway""";"=""West Darby""";"=""Nebraska""";"=""89141056""";"=""Canada""";"=""2620120618257770""";"=""10/25""";"=""Tablet Profissional""";"=""2459.37""";"=""Um excelente tablet profissional da categoria Informatica, ideal para suas necessidades.""";"=""97""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Voluptatum qui exercitationem dolores delectus.""";"=""Conteudo do artigo nao disponivel.""";"=""Pietro Carroll""";"=""2025-07-27T22:41:05.407Z"""
"=""Keely Collins""";"=""keely.collins""";"=""collins.keely@gmail.com""";"=""ColKe90""";"=""true""";"=""70793474590""";"=""15858548436""";"=""Keely Collins LTDA""";"=""12091164000150""";"=""611 Carter Causeway""";"=""South Natalie""";"=""District of Columbia""";"=""00669917""";"=""Malaysia""";"=""5471694401408231""";"=""10/25""";"=""Mouse Gamer Ultra-fino""";"=""475.44""";"=""Um excelente mouse gamer ultra-fino da categoria Games, ideal para suas necessidades.""";"=""13""";"=""Games""";"=""Descricao para a categoria Games""";"=""Accusamus beatae dicta laudantium autem voluptatum blanditiis eos.""";"=""Conteudo do artigo nao disponivel.""";"=""Alaina Upton""";"=""2025-07-27T22:41:06.373Z"""
"=""Maxime Maggio""";"=""maxime.maggio""";"=""maggio.maxime@gmail.com""";"=""MagMa75""";"=""true""";"=""52284269575""";"=""13524195300""";"=""Maxime Maggio LTDA""";"=""09845592000117""";"=""46811 Ethel Corners""";"=""North Waylon""";"=""Georgia""";"=""13289450""";"=""Denmark""";"=""4916210115588840""";"=""08/26""";"=""Smartphone RGB""";"=""3498.26""";"=""Um excelente smartphone rgb da categoria Informatica, ideal para suas necessidades.""";"=""10""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Eius assumenda nam cupiditate laudantium porro non.""";"=""Conteudo do artigo nao disponivel.""";"=""Kiara Kuphal""";"=""2025-07-27T22:41:07.330Z"""
"=""Soledad Runte""";"=""soledad.runte""";"=""runte.soledad@gmail.com""";"=""RunSo09""";"=""true""";"=""61115890409""";"=""15739816578""";"=""Soledad Runte LTDA""";"=""06851706000143""";"=""1224 Presley Radial""";"=""Lake Antoinette""";"=""Nebraska""";"=""53477186""";"=""Haiti""";"=""3528845972860832""";"=""06/27""";"=""Monitor 4K Sem Fio""";"=""590.13""";"=""Um excelente monitor 4k sem fio da categoria Games, ideal para suas necessidades.""";"=""24""";"=""Games""";"=""Descricao para a categoria Games""";"=""Perferendis explicabo non excepturi labore in.""";"=""Conteudo do artigo nao disponivel.""";"=""Aaron Reynolds""";"=""2025-07-27T22:41:08.272Z"""
"=""Eduardo Zieme""";"=""eduardo.zieme""";"=""zieme.eduardo@gmail.com""";"=""ZieEd01""";"=""true""";"=""30336826001""";"=""16787199468""";"=""Eduardo Zieme LTDA""";"=""82859619000110""";"=""856 Moses Orchard""";"=""Kentonborough""";"=""Texas""";"=""64564186""";"=""Latvia""";"=""3589815460502994""";"=""06/27""";"=""Notebook Moderno""";"=""4337.15""";"=""Um excelente notebook moderno da categoria Eletronicos, ideal para suas necessidades.""";"=""6""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Porro expedita nam aliquam quos vero deleniti cupiditate.""";"=""Conteudo do artigo nao disponivel.""";"=""Kiara Batz""";"=""2025-07-27T22:41:09.634Z"""
"=""Jocelyn Sauer""";"=""jocelyn.sauer""";"=""sauer.jocelyn@gmail.com""";"=""SauJo27""";"=""true""";"=""69022369927""";"=""17636281925""";"=""Jocelyn Sauer LTDA""";"=""88389962000125""";"=""9624 Yundt Lock""";"=""West Lorifort""";"=""Illinois""";"=""25700814""";"=""Slovenia""";"=""6011709227587409""";"=""07/26""";"=""Cadeira Gamer Ultra-fino""";"=""1223.66""";"=""Um excelente cadeira gamer ultra-fino da categoria Fotografia, ideal para suas necessidades.""";"=""40""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Impedit dolorem ipsa aut molestiae omnis voluptas sunt.""";"=""Conteudo do artigo nao disponivel.""";"=""Carey Trantow""";"=""2025-07-27T22:41:10.607Z"""
"=""Peyton Quigley""";"=""peyton.quigley""";"=""quigley.peyton@gmail.com""";"=""QuiPe21""";"=""true""";"=""10028033221""";"=""16618427045""";"=""Peyton Quigley LTDA""";"=""18237394000161""";"=""8783 Lolita Spur""";"=""East Yasmin""";"=""Pennsylvania""";"=""28518186""";"=""Sri Lanka""";"=""2720587963614905""";"=""10/25""";"=""Camera Digital Ultra-fino""";"=""2554.38""";"=""Um excelente camera digital ultra-fino da categoria Games, ideal para suas necessidades.""";"=""28""";"=""Games""";"=""Descricao para a categoria Games""";"=""Voluptatem voluptate et reprehenderit numquam.""";"=""Conteudo do artigo nao disponivel.""";"=""Sedrick Koss""";"=""2025-07-27T22:41:11.540Z"""
"=""Cory Jacobi""";"=""cory.jacobi""";"=""jacobi.cory@gmail.com""";"=""JacCo92""";"=""true""";"=""92785109392""";"=""14708682955""";"=""Cory Jacobi LTDA""";"=""54402358000170""";"=""7567 Adams Points Apt. 720""";"=""Swaniawskiville""";"=""Delaware""";"=""98139823""";"=""Jamaica""";"=""4916424040267319""";"=""01/27""";"=""Smartwatch Profissional""";"=""1530.88""";"=""Um excelente smartwatch profissional da categoria Acessorios, ideal para suas necessidades.""";"=""8""";"=""Acessorios""";"=""Descricao para a categoria Acessorios""";"=""Inventore quis id quam.""";"=""Conteudo do artigo nao disponivel.""";"=""Susana Paucek""";"=""2025-07-27T22:41:12.501Z"""
"=""Isabell Nienow""";"=""isabell.nienow""";"=""nienow.isabell@gmail.com""";"=""NieIs59""";"=""true""";"=""61081656859""";"=""16783350856""";"=""Isabell Nienow LTDA""";"=""90911128000108""";"=""8900 Hills Point""";"=""Joelside""";"=""Maryland""";"=""84823446""";"=""Pakistan""";"=""4716421667414812""";"=""01/28""";"=""Mouse Gamer Sem Fio""";"=""4523.27""";"=""Um excelente mouse gamer sem fio da categoria Eletronicos, ideal para suas necessidades.""";"=""51""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Blanditiis perspiciatis laudantium quia neque.""";"=""Conteudo do artigo nao disponivel.""";"=""Jazmin Reilly""";"=""2025-07-27T22:41:13.768Z"""
"=""Modesto Douglas""";"=""modesto.douglas""";"=""douglas.modesto@gmail.com""";"=""DouMo26""";"=""true""";"=""53971909426""";"=""12819663742""";"=""Modesto Douglas LTDA""";"=""78443709000159""";"=""52990 Mitchell Inlet Apt. 692""";"=""Rueckerstad""";"=""Virginia""";"=""03302035""";"=""Monaco""";"=""5120146142346894""";"=""09/26""";"=""Tablet Sem Fio""";"=""2538.85""";"=""Um excelente tablet sem fio da categoria Eletronicos, ideal para suas necessidades.""";"=""68""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Aut ut et aut.""";"=""Conteudo do artigo nao disponivel.""";"=""Raina Hoeger""";"=""2025-07-27T22:41:14.721Z"""
